regionType,regionId,representative,field,status,value,source,reason
ward,4,Lamont J. Robinson,name,value,Lamont J. Robinson,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,4,Lamont J. Robinson,email,value,Ward04@cityofchicago.org,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,4,Lamont J. Robinson,phone,value,(312)744-2690,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,4,Lamont J. Robinson,address,value,"928 East 43rd Street, Chicago, IL 60653",https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,4,Lamont J. Robinson,photo,unavailable,,https://www.chicago.gov/city/en/about/wards/04.html,Not published by official source
ward,5,Desmon C. Yancy,name,value,Desmon C. Yancy,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,5,Desmon C. Yancy,email,value,Ward05@cityofchicago.org,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,5,Desmon C. Yancy,phone,value,(312) 744-6832,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,5,Desmon C. Yancy,address,value,"2230 East 71st Street, Chicago, IL 60649",https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,5,Desmon C. Yancy,photo,unavailable,,https://www.chicago.gov/city/en/about/wards/05.html,Not published by official source
ward,6,William E. Hall,name,value,William E. Hall,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,6,William E. Hall,email,value,Ward06@cityofchicago.org,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,6,William E. Hall,phone,value,(773) 241-3100,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,6,William E. Hall,address,value,"8541 South State Street, Chicago, IL 60619",https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,6,William E. Hall,photo,unavailable,,https://www.chicago.gov/city/en/about/wards/06.html,Not published by official source
ward,7,Gregory I. Mitchell,name,value,Gregory I. Mitchell,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,7,Gregory I. Mitchell,email,value,Ward07@cityofchicago.org,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,7,Gregory I. Mitchell,phone,value,(773) 731-7777,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,7,Gregory I. Mitchell,address,value,"2249 East 95th Street, Chicago, IL 60617",https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,7,Gregory I. Mitchell,photo,unavailable,,https://www.chicago.gov/city/en/about/wards/07.html,Not published by official source
ward,8,Michelle A. Harris,name,value,Michelle A. Harris,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,8,Michelle A. Harris,email,value,Ward08@cityofchicago.org,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,8,Michelle A. Harris,phone,value,(773) 874-3300,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,8,Michelle A. Harris,address,value,"8539 South Cottage Grove Avenue, Chicago, IL 60619",https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,8,Michelle A. Harris,photo,unavailable,,https://www.chicago.gov/city/en/about/wards/08.html,Not published by official source
ward,9,Anthony Beale,name,value,Anthony Beale,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,9,Anthony Beale,email,value,Ward09@cityofchicago.org,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,9,Anthony Beale,phone,value,(773) 785-1100,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,9,Anthony Beale,address,value,"34 East 112th Place, Chicago, IL 60628",https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,9,Anthony Beale,photo,unavailable,,https://www.chicago.gov/city/en/about/wards/09.html,Not published by official source
ward,10,Peter Chico,name,value,Peter Chico,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,10,Peter Chico,email,value,Ward10@cityofchicago.org,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,10,Peter Chico,phone,value,(773) 768-8138,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,10,Peter Chico,address,value,"10500 South Ewing Avenue, Chicago, IL 60617",https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,10,Peter Chico,photo,unavailable,,https://www.chicago.gov/city/en/about/wards/10.html,Not published by official source
ward,11,Nicole T. Lee,name,value,Nicole T. Lee,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,11,Nicole T. Lee,email,value,Ward11@cityofchicago.org,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,11,Nicole T. Lee,phone,value,(773) 254-6677,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,11,Nicole T. Lee,address,value,"3659 South Halsted Street, Chicago, IL 60609",https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,11,Nicole T. Lee,photo,unavailable,,https://www.chicago.gov/city/en/about/wards/11.html,Not published by official source
ward,12,Julia M. Ramirez,name,value,Julia M. Ramirez,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,12,Julia M. Ramirez,email,value,Ward12@cityofchicago.org,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,12,Julia M. Ramirez,phone,value,(773) 475-6783,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,12,Julia M. Ramirez,address,value,"3868 South Archer Avenue, Chicago, IL 60632",https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,12,Julia M. Ramirez,photo,unavailable,,https://www.chicago.gov/city/en/about/wards/12.html,Not published by official source
ward,13,Marty Quinn,name,value,Marty Quinn,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,13,Marty Quinn,email,value,Ward13@cityofchicago.org,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,13,Marty Quinn,phone,value,(773) 581-8000,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,13,Marty Quinn,address,value,"6500 South Pulaski Road, Chicago, IL 60629",https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,13,Marty Quinn,photo,unavailable,,https://www.chicago.gov/city/en/about/wards/13.html,Not published by official source
ward,14,Jeylu B. Gutierrez,name,value,Jeylu B. Gutierrez,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,14,Jeylu B. Gutierrez,email,value,Ward14@cityofchicago.org,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,14,Jeylu B. Gutierrez,phone,value,773-236-0117,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,14,Jeylu B. Gutierrez,address,value,"3124 West 59th Street, Chicago, IL 60629",https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,14,Jeylu B. Gutierrez,photo,unavailable,,https://www.chicago.gov/city/en/about/wards/14.html,Not published by official source
ward,15,Raymond A. Lopez,name,value,Raymond A. Lopez,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,15,Raymond A. Lopez,email,value,Ward15@cityofchicago.org,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,15,Raymond A. Lopez,phone,value,(773) 823-1539,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,15,Raymond A. Lopez,address,value,"2650 West 51st Street, Chicago, IL 60632",https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,15,Raymond A. Lopez,photo,unavailable,,https://www.chicago.gov/city/en/about/wards/15.html,Not published by official source
ward,16,Stephanie D. Coleman,name,value,Stephanie D. Coleman,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,16,Stephanie D. Coleman,email,value,Ward16@cityofchicago.org,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,16,Stephanie D. Coleman,phone,value,(773) 306-1981,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,16,Stephanie D. Coleman,address,value,"1137 West 63rd Street, Unit C, Chicago, IL 60621",https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,16,Stephanie D. Coleman,photo,unavailable,,https://www.chicago.gov/city/en/about/wards/16.html,Not published by official source
ward,17,David H. Moore,name,value,David H. Moore,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,17,David H. Moore,email,value,Ward17@cityofchicago.org,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,17,David H. Moore,phone,value,(773) 783-3672,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,17,David H. Moore,address,value,"1344 West 79th Street, Chicago, IL 60620",https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,17,David H. Moore,photo,unavailable,,https://www.chicago.gov/city/en/about/wards/17.html,Not published by official source
ward,18,Derrick G. Curtis,name,value,Derrick G. Curtis,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,18,Derrick G. Curtis,email,value,Ward18@cityofchicago.org,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,18,Derrick G. Curtis,phone,value,(773) 284-5057,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,18,Derrick G. Curtis,address,value,"8359 South Pulaski Road, Chicago, IL 60652",https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,18,Derrick G. Curtis,photo,unavailable,,https://www.chicago.gov/city/en/about/wards/18.html,Not published by official source
ward,19,Matthew J. O'Shea,name,value,Matthew J. O'Shea,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,19,Matthew J. O'Shea,email,value,Ward19@cityofchicago.org,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,19,Matthew J. O'Shea,phone,value,(773) 238-8766,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,19,Matthew J. O'Shea,address,value,"10400 South Western Avenue, Chicago, IL 60643",https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,19,Matthew J. O'Shea,photo,unavailable,,https://www.chicago.gov/city/en/about/wards/19.html,Not published by official source
ward,20,Jeanette B. Taylor,name,value,Jeanette B. Taylor,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,20,Jeanette B. Taylor,email,value,Ward20@cityofchicago.org,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,20,Jeanette B. Taylor,phone,value,(773) 966-5336,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,20,Jeanette B. Taylor,address,value,"5401 South Wentworth Avenue, Suite 19E, Chicago, IL 60621",https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,20,Jeanette B. Taylor,photo,unavailable,,https://www.chicago.gov/city/en/about/wards/20.html,Not published by official source
ward,21,Ronnie L. Mosley,name,value,Ronnie L. Mosley,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,21,Ronnie L. Mosley,email,value,Ward21@cityofchicago.org,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,21,Ronnie L. Mosley,phone,value,(773) 881-9300,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,21,Ronnie L. Mosley,address,value,"10805 South Halsted Street, Chicago, IL 60628",https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,21,Ronnie L. Mosley,photo,unavailable,,https://www.chicago.gov/city/en/about/wards/21.html,Not published by official source
ward,22,Michael D. Rodriguez,name,value,Michael D. Rodriguez,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,22,Michael D. Rodriguez,email,value,Ward22@cityofchicago.org,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,22,Michael D. Rodriguez,phone,value,(773) 762-1771,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,22,Michael D. Rodriguez,address,value,"2500 South St. Louis Avenue, Chicago, IL 60623",https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,22,Michael D. Rodriguez,photo,unavailable,,https://www.chicago.gov/city/en/about/wards/22.html,Not published by official source
ward,23,Silvana Tabares,name,value,Silvana Tabares,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,23,Silvana Tabares,email,value,Ward23@cityofchicago.org,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,23,Silvana Tabares,phone,value,(773) 582-4444,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,23,Silvana Tabares,address,value,"6247 South Archer Avenue, Chicago, IL 60638",https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,23,Silvana Tabares,photo,unavailable,,https://www.chicago.gov/city/en/about/wards/23.html,Not published by official source
ward,24,Monique L. Scott,name,value,Monique L. Scott,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,24,Monique L. Scott,email,value,ward24@cityofchicago.org,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,24,Monique L. Scott,phone,value,(773) 533-2400,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,24,Monique L. Scott,address,value,"1158 South Keeler Street, Chicago, IL 60624",https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,24,Monique L. Scott,photo,unavailable,,https://www.chicago.gov/city/en/about/wards/24.html,Not published by official source
ward,25,Byron Sigcho-Lopez,name,value,Byron Sigcho-Lopez,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,25,Byron Sigcho-Lopez,email,value,Ward25@cityofchicago.org,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,25,Byron Sigcho-Lopez,phone,value,(773) 523-4100,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,25,Byron Sigcho-Lopez,address,value,"2100 West Cermak Road, Chicago, IL 60608",https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,25,Byron Sigcho-Lopez,photo,unavailable,,https://www.chicago.gov/city/en/about/wards/25.html,Not published by official source
ward,26,Jessica L. Fuentes,name,value,Jessica L. Fuentes,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,26,Jessica L. Fuentes,email,value,Ward26@cityofchicago.org,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,26,Jessica L. Fuentes,phone,value,(773) 395-0143,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,26,Jessica L. Fuentes,address,value,"2511 West Division Street, Chicago, IL 60602",https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,26,Jessica L. Fuentes,photo,unavailable,,https://www.chicago.gov/city/en/about/wards/26.html,Not published by official source
ward,27,Walter R. Burnett,name,value,Walter R. Burnett,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,27,Walter R. Burnett,email,value,Ward27@cityofchicago.org,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,27,Walter R. Burnett,phone,value,(312) 432-1995,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,27,Walter R. Burnett,address,value,"4 North Western Avenue, Unit 1C, Chicago, IL 60618",https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,27,Walter R. Burnett,photo,unavailable,,https://www.chicago.gov/city/en/about/wards/27.html,Not published by official source
ward,28,Jason C. Ervin,name,value,Jason C. Ervin,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,28,Jason C. Ervin,email,value,Ward28@cityofchicago.org,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,28,Jason C. Ervin,phone,value,(773) 533-0900,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,28,Jason C. Ervin,address,value,"2622 West Jackson Boulevard, Suite 200A, Chicago, IL 60612",https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,28,Jason C. Ervin,photo,unavailable,,https://www.chicago.gov/city/en/about/wards/28.html,Not published by official source
ward,29,Chris Taliaferro,name,value,Chris Taliaferro,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,29,Chris Taliaferro,email,value,Ward29@cityofchicago.org,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,29,Chris Taliaferro,phone,value,(773) 237-6460,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,29,Chris Taliaferro,address,value,"6272 West North Avenue, Chicago, IL 60639",https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,29,Chris Taliaferro,photo,unavailable,,https://www.chicago.gov/city/en/about/wards/29.html,Not published by official source
ward,30,Ruth Cruz,name,value,Ruth Cruz,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,30,Ruth Cruz,email,value,Ward30@cityofchicago.org,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,30,Ruth Cruz,phone,value,(773) 628-7874,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,30,Ruth Cruz,address,value,"5418 W. Belmont Ave, Chicago, IL 60641",https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,30,Ruth Cruz,photo,unavailable,,https://www.chicago.gov/city/en/about/wards/30.html,Not published by official source
ward,31,Jr. Cardona,name,value,Jr. Cardona,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,31,Jr. Cardona,email,value,Ward31@cityofchicago.org,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,31,Jr. Cardona,phone,value,(773) 824-2000,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,31,Jr. Cardona,address,value,"4606 West Diversey Avenue, Chicago, IL 60639",https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,31,Jr. Cardona,photo,unavailable,,https://www.chicago.gov/city/en/about/wards/31.html,Not published by official source
ward,32,Scott Waguespack,name,value,Scott Waguespack,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,32,Scott Waguespack,email,value,Ward32@cityofchicago.org,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,32,Scott Waguespack,phone,value,(773) 248-1330,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,32,Scott Waguespack,address,value,"2657 North Clybourn Avenue, Chicago, IL 60614",https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,32,Scott Waguespack,photo,unavailable,,https://www.chicago.gov/city/en/about/wards/32.html,Not published by official source
ward,33,Rossana Rodriguez Sanchez,name,value,Rossana Rodriguez Sanchez,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,33,Rossana Rodriguez Sanchez,email,value,Ward33@cityofchicago.org,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,33,Rossana Rodriguez Sanchez,phone,value,(773) 840-7880,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,33,Rossana Rodriguez Sanchez,address,value,"4747 North Sawyer Avenue, Chicago, IL 60625",https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,33,Rossana Rodriguez Sanchez,photo,unavailable,,https://www.chicago.gov/city/en/about/wards/33.html,Not published by official source
ward,34,William Conway,name,value,William Conway,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,34,William Conway,email,value,Ward34@cityofchicago.org,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,34,William Conway,phone,value,(312) 744-6820,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,34,William Conway,address,value,"121 North LaSalle Street, Room 300, Chicago, IL 60602",https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,34,William Conway,photo,unavailable,,https://www.chicago.gov/city/en/about/wards/34.html,Not published by official source
ward,35,Anthony J. Quezada,name,value,Anthony J. Quezada,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,35,Anthony J. Quezada,email,value,ward35@cityofchicago.org,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,35,Anthony J. Quezada,phone,value,(773) 887-3772,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,35,Anthony J. Quezada,address,value,"2934 North Milwaukee Avenue, Unit C, Chicago, IL 60618",https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,35,Anthony J. Quezada,photo,unavailable,,https://www.chicago.gov/city/en/about/wards/35.html,Not published by official source
ward,36,Gilbert Villegas,name,value,Gilbert Villegas,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,36,Gilbert Villegas,email,value,Ward36@cityofchicago.org,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,36,Gilbert Villegas,phone,value,(773) 745-4636,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,36,Gilbert Villegas,address,value,"6560 West Fullerton Avenue, Unit C118, Suite A; 2246 West Chicago Avenue, Chicago, IL 60707; 60622",https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,36,Gilbert Villegas,photo,unavailable,,https://www.chicago.gov/city/en/about/wards/36.html,Not published by official source
ward,37,Emma Mitts,name,value,Emma Mitts,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,37,Emma Mitts,email,value,Ward37@cityofchicago.org,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,37,Emma Mitts,phone,value,(773) 379-0960,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,37,Emma Mitts,address,value,"4924 West Chicago Avenue, Chicago, IL 60651",https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,37,Emma Mitts,photo,unavailable,,https://www.chicago.gov/city/en/about/wards/37.html,Not published by official source
ward,38,Nicholas Sposato,name,value,Nicholas Sposato,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,38,Nicholas Sposato,email,value,Ward38@cityofchicago.org,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,38,Nicholas Sposato,phone,value,(773) 283-3838,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,38,Nicholas Sposato,address,value,"3821 North Harlem Avenue, Chicago, IL 60634",https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,38,Nicholas Sposato,photo,unavailable,,https://www.chicago.gov/city/en/about/wards/38.html,Not published by official source
ward,39,Samantha Nugent,name,value,Samantha Nugent,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,39,Samantha Nugent,email,value,Ward39@cityofchicago.org,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,39,Samantha Nugent,phone,value,(773) 736-5594,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,39,Samantha Nugent,address,value,"4200 West Lawrence Avenue, Chicago, IL 60630",https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,39,Samantha Nugent,photo,unavailable,,https://www.chicago.gov/city/en/about/wards/39.html,Not published by official source
ward,40,Jr. Vasquez,name,value,Jr. Vasquez,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,40,Jr. Vasquez,email,value,Ward40@cityofchicago.org,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,40,Jr. Vasquez,phone,value,(773) 654-1867,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,40,Jr. Vasquez,address,value,"5620 North Western Avenue, Chicago, IL 60659",https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,40,Jr. Vasquez,photo,unavailable,,https://www.chicago.gov/city/en/about/wards/40.html,Not published by official source
ward,41,Anthony V. Napolitano,name,value,Anthony V. Napolitano,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,41,Anthony V. Napolitano,email,value,Ward41@cityofchicago.org,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,41,Anthony V. Napolitano,phone,value,(773) 631-2241,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,41,Anthony V. Napolitano,address,value,"7231 West Touhy Avenue, Chicago, IL 60631",https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,41,Anthony V. Napolitano,photo,unavailable,,https://www.chicago.gov/city/en/about/wards/41.html,Not published by official source
ward,42,Brendan Reilly,name,value,Brendan Reilly,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,42,Brendan Reilly,email,value,Ward42@cityofchicago.org,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,42,Brendan Reilly,phone,value,(312) 642-4242,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
